date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622237;CONSOMMATION;CARTOL;2021-05-17T23:00:00+00:00;;17421;m3;CONSOMMATION GAZ 1;ETUVE 80°C PRINCIPALE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T23:00:00+00:00;ETUVE 80°C PRINCIPALE-2021-05-17T23:00:00+00:00;17421;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;23;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 10 MIN;12346609;AUTRES;CARTOL;2021-05-18T00:00:00+00:00;;10;°C;TEMPERATURE;SOUS LE PORCHE;Sous-compteur;Température;TEMPERATURE;2021-05-18T00:00:00+00:00;SOUS LE PORCHE-2021-05-18T00:00:00+00:00;10;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;0;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622183;CONSOMMATION;CARTOL;2021-05-18T00:00:00+00:00;;93909;m3;CONSOMMATION GAZ 1;CHAUDIERE CATAPHORESE;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-18T00:00:00+00:00;CHAUDIERE CATAPHORESE-2021-05-18T00:00:00+00:00;93970;61.0;1000;1442.406;1299.4648648648647;55.532630999999995;Hiver;2021-05;2;0;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622206;CONSOMMATION;CARTOL;2021-05-18T00:00:00+00:00;;17915;m3;CONSOMMATION GAZ 1;ETUVE 1;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-18T00:00:00+00:00;ETUVE 1-2021-05-18T00:00:00+00:00;17915;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;0;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622215;CONSOMMATION;CARTOL;2021-05-18T00:00:00+00:00;;17801;m3;CONSOMMATION GAZ 1;ETUVE 2;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-18T00:00:00+00:00;ETUVE 2-2021-05-18T00:00:00+00:00;17801;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;0;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622223;CONSOMMATION;CARTOL;2021-05-18T00:00:00+00:00;;18694;m3;CONSOMMATION GAZ 1;GDFA400;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T00:00:00+00:00;GDFA400-2021-05-18T00:00:00+00:00;18694;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;0;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622228;CONSOMMATION;CARTOL;2021-05-18T00:00:00+00:00;;2989;m3;CONSOMMATION GAZ 1;RETOUCHES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T00:00:00+00:00;RETOUCHES-2021-05-18T00:00:00+00:00;2989;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;0;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-18T00:00:00+00:00;;1236;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T00:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-18T00:00:00+00:00;1236;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;0;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622206;CONSOMMATION;CARTOL;2021-05-18T01:00:00+00:00;;17915;m3;CONSOMMATION GAZ 1;ETUVE 1;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-18T01:00:00+00:00;ETUVE 1-2021-05-18T01:00:00+00:00;17915;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;1;False;0.0;23
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622223;CONSOMMATION;CARTOL;2021-05-18T01:00:00+00:00;;18694;m3;CONSOMMATION GAZ 1;GDFA400;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T01:00:00+00:00;GDFA400-2021-05-18T01:00:00+00:00;18694;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;2;1;False;0.0;23
