date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T03:10:00+00:00;;1865830;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T03:10:00+00:00;POSTE HT-2021-05-12T03:10:00+00:00;1865880;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-05;3;5;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T03:20:00+00:00;;1865880;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T03:20:00+00:00;POSTE HT-2021-05-12T03:20:00+00:00;1865930;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-05;3;5;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T03:40:00+00:00;;1865990;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T03:40:00+00:00;POSTE HT-2021-05-12T03:40:00+00:00;1866040;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-05;3;5;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-12T03:00:00+00:00;;99157;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-12T03:00:00+00:00;GENERAL PEINTURE-2021-05-12T03:00:00+00:00;99157;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;3;5;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T05:10:00+00:00;;1866630;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T05:10:00+00:00;POSTE HT-2021-05-12T05:10:00+00:00;1866730;100.0;600.0;1850;100.0;100.0;10.2;Hiver;2021-05;3;7;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T05:20:00+00:00;;1866730;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T05:20:00+00:00;POSTE HT-2021-05-12T05:20:00+00:00;1866860;130.0;780.0;1850;130.0;130.0;13.26;Hiver;2021-05;3;7;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T05:40:00+00:00;;1867020;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T05:40:00+00:00;POSTE HT-2021-05-12T05:40:00+00:00;1867180;160.0;960.0;1850;160.0;160.0;16.32;Hiver;2021-05;3;7;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-05-12T05:00:00+00:00;;120304;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-05-12T05:00:00+00:00;GENERAL CATAPHORESE-2021-05-12T05:00:00+00:00;120304;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;3;7;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-12T06:30:00+00:00;;1867710;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-12T06:30:00+00:00;POSTE HT-2021-05-12T06:30:00+00:00;1867900;190.0;1140.0;1850;190.0;190.0;19.38;Hiver;2021-05;3;8;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-05-12T06:00:00+00:00;;120304;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-05-12T06:00:00+00:00;GENERAL CATAPHORESE-2021-05-12T06:00:00+00:00;120636;332.0;0.0;1000;7850.472000000001;7072.497297297297;302.243172;Hiver;2021-05;3;8;False;0.0;14
